,code,name,official_name,keph_level,facility_type,facility_type_category,owner,owner_type,regulatory_body,beds,cots,county,constituency,sub_county,ward,operation_status,open_whole_day,open_public_holidays,open_weekends,open_late_night,approved,public_visible,closed
5797,19284,Wayside Medical & Dental Clinic,Wayside medical  & Dental clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Kasarani,Kasarani,Kasarani,Operational,No,No,Yes,No,Yes,Yes,No
5798,19283,Tazama Dentel Clinic,Tazama Dentel Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Githurai,Operational,No,No,Yes,No,Yes,Yes,No
5800,19280,St Louis Community Hospital,St Louis community Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Zimmerman,Operational,No,No,Yes,No,Yes,Yes,No
5801,19279,Narzareth Medical Services,Narzareth medical services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Githurai,Operational,No,No,Yes,No,Yes,Yes,No
5802,19278,Hope Medical Clinic ( Githurai),Hope medical clinic ( Githurai),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Githurai,Operational,No,No,Yes,No,Yes,Yes,No
5803,19277,Mother & Child Meridian & Lab Services,Mother & child meridian & lab services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Githurai,Operational,No,No,Yes,No,Yes,Yes,No
5804,19276,Stars General Medical Clinic,Stars general medical clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Zimmerman,Operational,No,No,Yes,No,Yes,Yes,No
5805,19275,Prestige Health Centre (Zimerman),Prestige Health Centre (zimerman),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Roysambu,Roysambu,Zimmerman,Operational,No,No,Yes,No,Yes,Yes,No
5807,19271,Swop Korogocho,Swop Korogocho,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,No,No,No,No,Yes,Yes,No
5831,19236,Ngumba Medical Centre,Ngumba Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,10,2,Nairobi,Ruaraka,Ruaraka,Babandogo,Operational,No,No,Yes,No,Yes,Yes,No
5832,19234,Hope Medical Clinic (Babadogo),Hope medical clinic ( babadogo),Level 2,Dispensaries and clinic-out patient only,Primary health  care services,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB - Private Practice (deleted),0,0,Nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,No,No,Yes,No,Yes,Yes,No
5850,19213,Rainbow Clinic,Rainbow Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,Nairobi West,Operational,No,No,Yes,No,Yes,Yes,No
5929,19101,The Nairobi Hospital Out-Patient Centre Galeria,The Nairobi Hospital Out-patient Centre Galeria,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,Mugumo-ini,Operational,No,No,Yes,No,Yes,Yes,No
5966,19035,Chonesus Clinic,Christian Home Network Of Kenya Clinic,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Lindi,Operational,No,No,Yes,No,Yes,Yes,No
5999,18992,Rosade Medical Clinic,Rosade Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Nairobi,Kibra,Kibra,Sarang'ombe,Operational,No,No,Yes,No,Yes,Yes,No
6001,18985,Maranatha Medical Services,Maranatha Medical Services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB - Private Practice (deleted),0,0,Nairobi,Langata,Langata,Mugumo-ini,Operational,No,No,Yes,No,Yes,Yes,No
6002,18984,Kibera Highway Clinic,Kibera Highway Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Nairobi,Kibra,Kibra,Lindi,Operational,No,No,Yes,No,Yes,Yes,No
6031,18942,Kamiti Maximum Clinic,Kamiti Maximum Clinic,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Roysambu,Roysambu,Kahawa West,Operational,No,No,Yes,No,Yes,Yes,No
6062,18896,Swop Thika Road,SWOP Thika Road VCT,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,No,No,No,Yes,Yes,No
6063,18895,Korogocho Health Centre,Korogocho Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,12,2,Nairobi,Ruaraka,Ruaraka,Korogocho,Operational,No,No,No,No,Yes,Yes,No
6064,18894,Agakhan University Clinic Embakasi(AUN),Agakhan University Clinic (Embakasi),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,6,2,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,No,No,Yes,No,Yes,Yes,No
6065,18893,Emmanuel Medical Centre,Emmanuel Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),5,2,Nairobi,Embakasi East,Embakasi East,Lower Savannah,Operational,Yes,No,Yes,No,Yes,Yes,No
6070,18888,Consolata Shrine Dispensary (Deep Sea Nairobi),Consolata Shrine Dispensary (Deep Sea Nairobi),Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Parklands/Highridge,Operational,No,No,Yes,No,Yes,Yes,No
6071,18887,Githogoro Runda Baptist Clinic (Getrudes Nairobi),Githogoro Runda Baptist Clinic (Getrudes Nairobi),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Karura,Operational,No,No,No,No,Yes,Yes,No
6094,18860,Wellness Program KWS Hq,Wellness Program KWS HQ,Level 2,Dispensary,DISPENSARY,Public Institution - Parastatal,Ministry of Health,Ministry of Health,0,0,Nairobi,Langata,Langata,Mugumo-ini,Operational,No,No,No,No,Yes,Yes,No
6095,18859,AAR Healthcare Limited (Karen),AAR Healthcare Limited (Karen),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,Karen,Operational,No,No,Yes,No,Yes,Yes,No
6119,18828,Lea Toto Zimmerman,LEA Toto Zimmerman,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Other,0,0,Nairobi,Roysambu,Roysambu,Zimmerman,Operational,No,No,No,No,Yes,Yes,No
6135,18807,Dr Irimu Medical Clinic,Dr Irimu Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
6136,18805,Bodaki Medical Clinic,Bodaki Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),4,0,Nairobi,Dagoretti North,Dagoretti North,Gatina,Operational,Yes,No,Yes,No,Yes,Yes,No
6143,18796,Sasa Centre (Makadara),Sasa Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi South,Operational,No,No,No,No,Yes,Yes,No
6144,18795,Church Army Medical Clinic,Church Army Medical Clinic,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Makadara,Makadara,Maringo/Hamza,Operational,No,No,Yes,No,Yes,Yes,No
6157,18778,Dr Florence Murila (Ngong Road),Dr Florence Murila (Ngong Road),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,Yes,No,Yes,Yes,No
6162,18770,Andulus Medical Clinic,Andulus Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,16,2,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,Yes,No,Yes,No,Yes,Yes,No
6163,18769,Al Amin Nursing Home,AL Amin Nursing Home,Level 3,Nursing Homes,NURSING HOME,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,14,0,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,Yes,No,Yes,No,Yes,Yes,No
6167,18763,PCEA Kuwinda Health Clinic,PCEA Kuwinda Health Clinic,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Langata,Langata,Karen,Operational,No,No,No,No,Yes,Yes,No
6172,18754,Clinix Health Care (Kibra),Clinix Health Care,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Sarang'ombe,Operational,No,No,No,No,Yes,Yes,No
6181,18745,Comboni Missionary Sisters Health Programm,Comboni Missionary Sisters Health Program,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,No,No,Yes,No,Yes,Yes,No
6182,18744,Premium Health Services,Premium Health Services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,No,No,Yes,No,Yes,Yes,No
6183,18743,Kariobangi EDARP,Kariobangi Edarp,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,No,No,Yes,No,Yes,Yes,No
6185,18741,Vipawa Medical Services,Vipawa Medical Services,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Nairobi,Kibra,Kibra,Makina,Operational,Yes,No,Yes,No,Yes,Yes,No
6187,18739,Eagle Wings Medical Centre,Eagle Wings Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,Mugumo-ini,Operational,No,No,Yes,No,Yes,Yes,No
6236,18672,Jeytee,JeyTee,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Kasarani,Kasarani,Kasarani,Operational,No,No,No,No,Yes,Yes,No
6243,18662,Senate Health Services,Senate Health Services,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Embakasi North,Embakasi North,Dandora Area III,Operational,No,No,No,No,Yes,Yes,No
6264,18629,CID HQS Dispensary,CID Headquaters Clinic,Level 2,Dispensary,DISPENSARY,Armed Forces,Ministry of Health,Ministry of Health,0,0,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,No,Yes,No,Yes,Yes,No
6265,18628,Uthiru Muthua Health Centre,Uthiru Muthua Health Centre,Level 3,HEALTH CENTRE,None,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Dagoretti South,Dagoretti South,Uthiru/Ruthimitu,Operational,Yes,No,No,No,Yes,Yes,No
6274,18613,Glory Health Clinic,Glory Health Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Dagoretti South,Dagoretti South,Riruta,Operational,No,No,Yes,No,Yes,Yes,No
6275,18612,Fremo Medical Centre,Fremo Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,10,0,Nairobi,Dagoretti South,Dagoretti South,Riruta,Operational,Yes,No,Yes,No,Yes,Yes,No
6276,18611,Lithi Clinic,Lithi Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,Eastleigh South,Operational,Yes,No,Yes,No,Yes,Yes,No
6289,18594,Joy Nursing Home and Maternity,Joy Nursing Home and Maternity,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - General Practitioner,Private Practice,Kenya MPDB,12,0,Nairobi,Kamukunji,Kamukunji,Airbase,Operational,Yes,No,Yes,No,Yes,Yes,No
6291,18591,Meridian Medical Centre (Capital Centre),Meridian Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,South C,Operational,No,No,Yes,No,Yes,Yes,No
6292,18590,Lengo Medical Clinic,Lengo Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Starehe,Starehe,Landimawe,Operational,No,No,Yes,No,Yes,Yes,No
6304,18574,Strathmore University Medical Centre,Strathmore University Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,Nairobi West,Operational,No,No,No,No,Yes,Yes,No
6329,18543,Hope Worldwide Kenya VCT (Makadara),Hope Worldwide Kenya VCT (Makadara),Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Makadara,Makadara,Maringo/Hamza,Operational,No,No,No,No,Yes,Yes,No
6332,18535,Adventist Centre For Care and Support (Kilimani),Adventist Centre for Care and Support,Level 2,VCT,STAND ALONE,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
6359,18505,KEMRI Mimosa,Kemri Mimosa,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Operational,No,No,No,No,Yes,Yes,No
6365,18495,St Aloysius Gonzaga School Dispensary,St Aloysius Gonzaga School Dispensary,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Langata,Langata,Mugumo-ini,Operational,No,No,No,No,Yes,Yes,No
6366,18494,PCEA Silanga Church VCT,PCEA Silanga Church VCT,Level 2,Dispensary,DISPENSARY,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Kibra,Langata,Nyayo Highrise,Operational,No,No,No,No,Yes,Yes,No
6369,18488,Jacaranda Special School,Jacaranda Special School,Level 2,Dispensary,DISPENSARY,Public Institution - Academic,Ministry of Health,Ministry of Health,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
6370,18486,Afya Health Care,Afya Health Care,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Institution Academic,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Roysambu,Roysambu,Githurai,Operational,No,No,Yes,No,Yes,Yes,No
6371,18485,Ruaraka Uhai Neema Hospital,Ruaraka Uhai Neema Hospital,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Babandogo,Operational,Yes,No,Yes,No,Yes,Yes,No
6372,18484,Catholic Dispensary Kariobangi,Kariobangi (Catholic) Dispensary,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Embakasi North,Embakasi North,Kariobangi North,Operational,No,No,Yes,No,Yes,Yes,No
6382,18472,Flomed Med Clinic,Flomed Med Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Ruaraka,Ruaraka,Utalii,Operational,No,No,Yes,No,Yes,Yes,No
6383,18468,Bar Hostess Empowerment Support Program VCT,Bar Hostess Empowerment Support Program VCT,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Ruaraka,Ruaraka,Mathare North,Operational,No,No,Yes,No,Yes,Yes,No
6385,18465,St Clare Medical Clinic,St Clare Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),6,2,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,Yes,No,Yes,No,Yes,Yes,No
6386,18464,Utawala Estate Health Centre,Utawala Estate Health Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,10,3,Nairobi,Embakasi East,Embakasi East,Utawala,Operational,Yes,Yes,Yes,Yes,Yes,Yes,No
6387,18463,Mukuru Health Centre,Mukuru Health Centre,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,24,2,Nairobi,Embakasi South,Embakasi South,Imara Daima,Operational,Yes,No,No,No,Yes,Yes,No
6408,18438,Sunton CFW Clinic,Sunton CFW Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Kasarani,Kasarani,Kasarani,Operational,No,No,Yes,No,Yes,Yes,No
6409,18436,Oasis Medical Clinic,Oasis Medical Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Embakasi North,Embakasi North,Dandora Area II,Operational,No,No,No,No,Yes,Yes,No
6411,18434,Muska Medical Centre,Muska Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,7,0,Nairobi,Kamukunji,Kamukunji,California,Operational,Yes,No,Yes,No,Yes,Yes,No
6433,18409,St Veronica EDARP Clinic,St Veronica EDARP Clinic,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,Eastleigh South,Operational,No,No,No,No,Yes,Yes,No
6434,18408,St John's Community Centre,St John's Community Centre,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,Pumwani,Operational,No,No,No,No,Yes,Yes,No
6435,18407,Just Meno Limited,Just Medical Limited,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Makadara,Makadara,Maringo/Hamza,Operational,No,No,Yes,No,Yes,Yes,No
6444,18395,Getrude Embakasi Clinic,Getrude Embakasi Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,6,4,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,No,No,Yes,No,Yes,Yes,No
6445,18394,Nairobi Earc St Anne Medical Clinic,Nairobi EARC St Anne Medical Clinic,Level 2,Dispensary,DISPENSARY,Public Institution - Academic,Ministry of Health,Ministry of Health,0,0,Nairobi,Makadara,Makadara,Maringo/Hamza,Operational,No,No,No,No,Yes,Yes,No
6447,18390,Ruai Family Hospital LTD,Ruai Family Hospital LTD,Level 3,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,50,2,Nairobi,Kasarani,Kasarani,Ruai,Operational,Yes,No,Yes,No,Yes,Yes,No
6448,18389,Kamulu Medical Centre,Kamulu Medical Centre,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Kasarani,Kasarani,Ruai,Operational,No,No,No,No,Yes,Yes,No
6449,18388,Divine Mercy Kariobangi,Divine Mercy Parish Dispensary,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Embakasi West,Embakasi West,Kariobangi South,Operational,No,No,No,No,Yes,Yes,No
6450,18386,Saika Nursing Home,Saika Nursing Home,Level 3,Nursing Homes,NURSING HOME,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,12,0,Nairobi,Kasarani,Kasarani,Njiru,Operational,Yes,No,No,No,Yes,Yes,No
6461,18368,Viva Afya Medical Clinic (Matopeni),Viva Afya Medical Clinic (Matopeni),Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Kasarani,Kasarani,Njiru,Operational,No,No,No,No,Yes,Yes,No
6468,18357,Kemsa Staff Clinic,KEMSA Staff Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi South,Operational,No,No,No,No,Yes,Yes,No
6476,18348,Association of Physically Disabled of Kenya,APDK (Nairobi),Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Westlands,Westlands,Kitisuru,Operational,No,No,No,No,Yes,Yes,No
6479,18344,Afya House Dispensary,Afya House Dispensary,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nairobi,Dagoretti North,Dagoretti North,Kilimani,Operational,No,No,No,No,Yes,Yes,No
6485,18334,Unity Maternity & Nursing Home,Unity Maternity & Nursing Home,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - General Practitioner,Private Practice,Kenya MPDB,10,0,Nairobi,Embakasi West,Embakasi West,Umoja II,Operational,Yes,Yes,Yes,No,Yes,Yes,No
6494,18323,Vostrum Clinic,Vostrum Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Makina,Operational,No,No,Yes,No,Yes,Yes,No
6509,18304,The Co-Operative University College of Kenya Dispe,The Co-Operative University College of Kenya Dispensary,Level 2,Dispensary,DISPENSARY,Public Institution - Parastatal,Ministry of Health,Ministry of Health,0,0,Nairobi,Langata,Langata,Karen,Operational,No,No,No,No,Yes,Yes,No
6530,18282,Glovnet VCT,Glovnet VCT,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Makadara,Makadara,Maringo/Hamza,Operational,No,No,No,No,Yes,Yes,No
6531,18281,Sunbeam Medical Centre,Sunbeam Medical Centre(Kangemi),Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,6,0,Nairobi,Westlands,Westlands,Kangemi,Operational,Yes,No,Yes,No,Yes,Yes,No
6534,18278,Healthways Medical Centre,Healthways Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,South C,Operational,No,No,Yes,No,Yes,Yes,No
6535,18275,Mmak Embakasi Stand Alone VCT,MMAK Embakasi Stand Alone VCT,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,None,0,0,Nairobi,Embakasi South,Embakasi South,Imara Daima,Operational,No,No,No,No,Yes,Yes,No
6536,18273,Buruburu Friends Clinic,Buruburu Friends Clinic,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,No,No,No,No,Yes,Yes,No
6537,18271,Bristal Park Hospital,Bristal Park Hospital,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,8,2,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,No,Yes,No,Yes,Yes,No
6567,18233,Umoja VCT Centre Stand Alone,Umoja Vct Centre Stand Alone,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Embakasi West,Embakasi West,Umoja II,Operational,No,No,No,No,Yes,Yes,No
6575,18222,St John's Community Clinic Njiru,St John's Community Clinic (Njiru),Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Clinical Officers Council,0,0,Nairobi,Kasarani,Kasarani,Njiru,Operational,No,No,Yes,No,Yes,Yes,No
6576,18220,Dandora Medical Centre,Dandora Medical Centre,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Nairobi,Embakasi North,Embakasi North,Dandora Area Iv,Operational,No,No,Yes,No,Yes,Yes,No
6577,18219,St Alice (EDARP) Dandora,St Alice (EDARP) Dandora Clinic,Level 2,Dispensary,DISPENSARY,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,0,0,Nairobi,Kasarani,Kasarani,Njiru,Operational,No,No,No,No,Yes,Yes,No
6578,18218,New Partner Initiative (Npi) Sasa Centre,New Partner Initiative(NPI) Sasa Centre,Level 3,Medical Center,MEDICAL CENTER,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,California,Operational,No,No,No,No,Yes,Yes,No
6579,18217,Family Health Option of Kenya,Family Health Option of Kenya,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,No,No,Yes,No,Yes,Yes,No
6611,18176,Sex Workers Outreach Program (Kibra),Sex Workers Outreach Program (Kibra),Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Sarang'ombe,Operational,No,No,No,No,Yes,Yes,No
6618,18167,Mmak,Movement Of Men Against AIDS Of Kenya,Level 2,VCT,STAND ALONE,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Nairobi,Makadara,Makadara,Harambee,Operational,No,No,No,No,Yes,Yes,No
